delta	c	MAP	P30
0.63	2.7	0.2486	0.3059
0.63	2.75	0.2488	0.3064
0.63	2.8	0.2487	0.3064
0.63	2.85	0.2489	0.3068
0.63	2.9	0.2492	0.3068
0.63	2.95	0.2492	0.307
0.63	3	0.2493	0.3071
0.63	3.05	0.2499	0.3074
0.63	3.1	0.2501	0.3076
0.63	3.15	0.2504	0.3071
0.63	3.2	0.2504	0.3078
0.63	3.25	0.2505	0.3079
0.63	3.3	0.2506	0.3088
0.63	3.35	0.2508	0.3086
0.63	3.4	0.2508	0.3079
0.63	3.45	0.2509	0.3079
0.63	3.5	Evaluation
0.63	3.55	0.251	0.3079
0.63	3.6	0.2511	0.308
0.63	3.65	0.2511	0.3078
0.63	3.7	0.2511	0.3082
0.63	3.75	0.2511	0.3082
0.63	3.8	0.2511	0.3083
0.63	3.85	0.2512	0.3083
0.63	3.9	0.2512	0.308
0.63	3.95	0.2509	0.3075
0.63	4	0.2515	0.3079
0.64	2	0.2461	0.3041
0.64	2.05	0.2463	0.3044
0.64	2.1	0.2451	0.3019
0.64	2.15	0.2465	0.3041
0.64	2.2	0.2467	0.3041
0.64	2.25	0.2472	0.3047
0.64	2.3	0.2475	0.3051
0.64	2.35	0.2476	0.3051
0.64	2.4	0.2477	0.305
0.64	2.45	0.2479	0.3051
0.64	2.5	0.2481	0.3058
0.64	2.55	0.2483	0.3059
0.64	2.6	0.2483	0.3066
0.64	2.65	0.2486	0.3063
0.64	2.7	0.2463	0.3059
0.64	2.75	0.2488	0.3064
0.64	2.8	0.248	0.3052
0.64	2.85	0.249	0.3068
0.64	2.9	0.2493	0.3067
0.64	2.95	0.2492	0.3068
0.64	3	0.2493	0.3068
0.64	3.05	0.25	0.3076
0.64	3.1	0.2501	0.3078
0.64	3.15	0.2504	0.3074
0.64	3.2	0.2505	0.3076
0.64	3.25	0.2506	0.3082
0.64	3.3	0.2496	0.3067
0.64	3.35	0.2508	0.3084
0.64	3.4	0.2509	0.3079
0.64	3.45	0.2509	0.308
0.64	3.5	0.2511	0.3082
0.64	3.55	0.251	0.3078
0.64	3.6	0.2511	0.308
0.64	3.65	0.2511	0.3078
0.64	3.7	0.2511	0.3082
0.64	3.75	0.2511	0.308
0.64	3.8	0.25	0.3062
0.64	3.85	0.2512	0.3079
0.64	3.9	0.2512	0.3078
0.64	3.95	0.2508	0.3071
0.64	4	0.2515	0.3076
0.65	2	0.2462	0.3043
0.65	2.05	0.2463	0.3046
0.65	2.1	0.242	0.2981
0.65	2.15	0.2465	0.3041
0.65	2.2	0.2467	0.3041
0.65	2.25	0.2472	0.305
0.65	2.3	0.2474	0.305
0.65	2.35	0.2476	0.3048
0.65	2.4	0.2478	0.305
0.65	2.45	0.248	0.3051
0.65	2.5	0.2481	0.3056
0.65	2.55	0.2483	0.306
0.65	2.6	0.2484	0.3064
0.65	2.65	0.2486	0.3063
0.65	2.7	0.2488	0.3066
0.65	2.75	0.2488	0.3064
0.65	2.8	0.249	0.307
0.65	2.85	0.249	0.3068
0.65	2.9	0.2493	0.3067
0.65	2.95	0.2493	0.3067
0.65	3	0.2499	0.3071
0.65	3.05	0.2499	0.3076
0.65	3.1	0.2501	0.3076
0.65	3.15	0.2504	0.3072
0.65	3.2	0.2505	0.3078
0.65	3.25	0.2506	0.3083
0.65	3.3	0.2506	0.3087
0.65	3.35	0.2508	0.3084
0.65	3.4	0.2508	0.3079
0.65	3.45	0.2509	0.3079
0.65	3.5	0.2511	0.3076
0.65	3.55	Evaluation
0.65	3.6	0.2511	0.3079
0.65	3.65	0.2511	0.3078
0.65	3.7	0.2511	0.308
0.65	3.75	0.2511	0.308
0.65	3.8	0.2511	0.3078
0.65	3.85	0.2512	0.3078
0.65	3.9	Evaluation
0.65	3.95	0.2514	0.308
0.65	4	Evaluation
0.66	2	0.2462	0.3043
0.66	2.05	0.2463	0.3044
